Key,en,de,es,fr,ja,ru,zh-cn,zh-tw
MainDoorPath,Main Door Path,Pfad zur Haupttür,Camino puerta principal,Chemin porte principale,メインドアへの道,Путь к главной двери,主门路径,主門路徑
MakeLimp,Make Limp,Humpeln lassen,Hacer cojear,Faire boiter,足を不自由にする,Заставить хромать,使瘸腿,使瘸腿
MakeNoise,MakeNoise,Lärm machen,Hacer ruido,Faire du bruit,音を出す,Шуметь,发出噪音,發出噪音
Mark,Mark,Markieren,Marcar,Marquer,マーク,Отметить,标记,標記
MasterESP,MASTER ESP,MASTER ESP,ESP Maestro,Master ESP,マスターESP,Мастер ESP,主透视,主透視
MaxBestiary,MaxBestiary,Bestiarium max.,Bestiario máx.,Bestiaire max,図鑑最大化,Макс. бестиарий,解锁全图鉴,解鎖全圖鑑
MeteorStrike,meteor strike,Meteorschlag,Impacto de meteoro,Frappe de météore,メテオストライク,Метеоритный удар,流星击,流星擊
NightVision,NightVision,Nachtsicht,Visión nocturna,Vision nocturne,暗視,Ночное зрение,夜视,夜視
NoClip,NoClip,NoClip,NoClip,NoClip,ノークリップ,Сквозь стены,穿墙,穿牆
NoEnemies,No Enemies,Keine Gegner,Sin enemigos,Pas d'ennemis,敵なし,Без врагов,无敌人,無敵人
NoObjects,No Objects,Keine Objekte,Sin objetos,Pas d'objets,オブジェクトなし,Без предметов,无物体,無物體
OpenBigDoor,OpenBigDoor,Große Tür öffnen,Abrir puerta grande,Ouvrir grande porte,大扉を開ける,Открыть большую дверь,开启大门,開啟大門
Organize,Oragnize,Organisieren,Organizar,Organiser,整理,Организовать,整理,整理
OrbitItems,Orbit Items,Items umkreisen,Orbitar objetos,Objets en orbite,アイテムを周回させる,Орбита предметов,物品环绕,物品環繞
OutsideAmbience,outsideAmbience,Außen-Ambiente,Ambiente exterior,Ambiance extérieure,屋外アンビエンス,Внешний эмбиент,室外氛围音,室外氛圍音
OutsideAmbienceInsanity,outsideAmbienceInsanity,Außen-Ambiente (Wahnsinn),Ambiente exterior (Locura),Ambiance extérieure (Folie),屋外アンビエンス（狂気）,Внешний эмбиент (безумие),室外氛围音（疯狂）,室外氛圍音（瘋狂）
PlayAudio,Play Audio,Audio abspielen,Reproducir audio,Lire l'audio,オーディオ再生,Играть аудио,播放音频,播放音頻
PlaySound,Play Sound,Sound abspielen,Reproducir sonido,Jouer le son,サウンド再生,Играть звук,播放声音,播放聲音
PlayerAuras,Player Auras,Spieler-Auras,Auras de jugadores,Auras de joueurs,プレイヤーのオーラ,Ауры игроков,玩家光晕,玩家光暈
PlayerLabel,Player Label,Spieler-Label,Etiqueta de jugador,Étiquette de joueur,プレイヤーラベル,Метка игрока,玩家标签,玩家標籤
Players,Players,Spieler,Jugadores,Joueurs,プレイヤー,Игроки,玩家,玩家
Recall,Recall,Zurückrufen,Retirar,Rappel,リコール,Отозвать,召回,召回
ReloadConfig,Reload Config,Konfig neu laden,Recargar config,Recharger config,設定再読み込み,Перезагрузить конфиг,重载配置,重載配置
ResetLevel,Reset Level,Level zurücksetzen,Reiniciar nivel,Réinitialiser le niveau,レベルリセット,Сбросить уровень,重置关卡,重置關卡
RespawnPlayers,Respawn Players,Spieler wiederbeleben,Reaparecer jugadores,Réapparaître les joueurs,プレイヤーをリスポーン,Возродить игроков,复活玩家,復活玩家
SaveLayout,SaveLayout,Layout speichern,Guardar diseño,Enregistrer la mise en page,レイアウト保存,Сохранить макет,保存布局,保存佈局
Self,self,Ich,Mismo,Soi,自分,Себя,自己,自己
ServerMessage,ServerMessage,Servernachricht,Mensaje del servidor,Message du serveur,サーバーメッセージ,Серверное сообщение,服务器消息,服務器消息
SetBuyRate,Set Buy Rate,Kaufrate setzen,Establecer tasa de compra,Régler le taux d'achat,購入率設定,Установить курс покупки,设置购买率,設置購買率
SetCredits,Set Credits,Credits setzen,Establecer créditos,Régler les crédits,クレジット設定,Установить кредиты,设置信用点,設置信用點
SetPatience,Set Patience,Geduld setzen,Establecer paciencia,Régler la patience,忍耐力設定,Установить терпение,设置耐心,設置耐心
SetQuotaDeadline,Set Quota/Deadline,Quote/Frist setzen,Establecer cuota/plazo,Régler quota/délai,ノルマ/期限設定,Установить квоту/дедлайн,设置配额/期限,設置配額/期限
SetPrice,SetPrice,Preis setzen,Establecer precio,Régler le prix,価格設定,Установить цену,设置价格,設置價格
ShipPath,Ship Path,Pfad zum Schiff,Camino a la nave,Chemin vers le vaisseau,船への道,Путь к кораблю,飞船路径,飛船路徑
ShipAmbience,shipAmbience,Schiff-Ambiente,Ambiente de la nave,Ambiance du vaisseau,船のアンビエンス,Эмбиент корабля,飞船氛围音,飛船氛圍音
ShipAmbienceInsanity,shipAmbienceInsanity,Schiff-Ambiente (Wahnsinn),Ambiente de la nave (Locura),Ambiance du vaisseau (Folie),船のアンビエンス（狂気）,Эмбиент корабля (безумие),飞船氛围音（疯狂）,飛船氛圍音（瘋狂）
ShootFast,ShootFast,Schnell schießen,Disparar rápido,Tir rapide,速射,Быстрая стрельба,快速射击,快速射擊
ShotGuns,ShotGuns,Schrotflinten,Escopetas,Fusils à pompe,ショットガン,Дробовики,散弹枪,散彈槍
SideDoorsPath,Side Doors Path,Pfad zu Seitentüren,Camino puertas laterales,Chemin portes latérales,サイドドアへの道,Путь к боковым дверям,侧门路径,側門路徑
SignalMessage,SignalMessage,Signalnachricht,Mensaje de señal,Message de signal,信号メッセージ,Сигнальное сообщение,信号消息,信號消息
SpawnAllEnemies,Spawn All enemies,Alle Gegner spawnen,Aparecer todos los enemigos,Apparition tous ennemis,全敵スポーン,Спавн всех врагов,生成所有敌人,生成所有敵人
SpawnAllItems,Spawn All Items,Alle Items spawnen,Aparecer todos los objetos,Apparition tous objets,全アイテムスポーン,Спавн всех предметов,生成所有物品,生成所有物品
SpawnEnemy,Spawn Enemy,Gegner spawnen,Aparecer enemigo,Apparition ennemi,敵スポーン,Спавн врага,生成敌人,生成敵人
SpawnItemsMenu,Spawn Items Menu,Items-Spawn-Menü,Menú de aparición de objetos,Menu apparition objets,アイテムスポーンメニュー,Меню спавна предметов,物品生成菜单,物品生成菜單
SpawnMapObject,Spawn Map Object,Kartenobjekt spawnen,Aparecer objeto de mapa,Apparition objet carte,マップオブジェクトスポーン,Спавн объекта карты,生成地图物体,生成地圖物體
SpawnNearPlayer,Spawn Near Player,In Spielnähe spawnen,Aparecer cerca del jugador,Apparition près du joueur,プレイヤー近くにスポーン,Спавн рядом с игроком,在玩家附近生成,在玩家附近生成
SpawnThereLaggy,Spawn There (Laggy),Dort spawnen (laggy),Aparecer allí (lento),Apparition là-bas (lent),そこにスポーン（重い）,Спавн там (лаги),在远处生成（卡顿）,在遠處生成（卡頓）
Spectate,Spectate,Zuschauen,Observar,Spectateur,観戦,Наблюдение,观战,觀戰
SpeedHack,SpeedHack,SpeedHack,Hack de velocidad,Hack de vitesse,スピードハック,Спидхак,加速挂,加速掛
StoreAll,Store All,Alles lagern,Almacenar todo,Tout stocker,すべて格納,Сохранить всё,储存所有,儲存所有
SubmitChallengeScrap,Submit Challenge scrap,Herausforderungs-Schrott abgeben,Entregar chatarra de desafío,Soumettre ferraille défi,チャレンジのスクラップを提出,Сдать лом испытания,提交挑战废料,提交挑戰廢料
TeleportAllItems,Teleport All Items,Alle Items teleportieren,Teletransportar todos los objetos,Téléporter tous les objets,全アイテムテレポート,Телепорт всех предметов,传送所有物品,傳送所有物品
TeleportEnemies,Teleport Enemies,Feinde teleportieren,Teletransportar enemigos,Téléporter les ennemis,敵をテレポート,Телепорт врагов,传送敌人,傳送敵人
TeleportToEntrance,Teleport to entrance,Zum Eingang teleportieren,Teletransportar a la entrada,Téléporter à l'entrée,入口にテレポート,Телепорт к входу,传送到入口,傳送到入口
TeleportToShip,Teleport to ship,Zum Schiff teleportieren,Teletransportar a la nave,Téléporter au vaisseau,船にテレポート,Телепорт к кораблю,传送到飞船,傳送到飛船
TestRoom,Test Room,Testraum,Sala de pruebas,Salle de test,テストルーム,Тестовая комната,测试房,測試房
ToggleCams,Toggle cams,Kameras umschalten,Alternar cámaras,Basculer caméras,カメラ切り替え,Переключить камеры,切换摄像头,切換攝像頭
ToggleItems,Toggle Items,Items umschalten,Alternar objetos,Basculer objets,アイテム切り替え,Переключить предметы,切换物品,切換物品
ToggleDoor,ToggleDoor,Tür umschalten,Alternar puerta,Basculer la porte,ドア切り替え,Переключить дверь,开关门,開關門
ToggleDoors,ToggleDoors,Türen umschalten,Alternar puertas,Basculer les portes,ドア切り替え（複数）,Переключить двери,开关所有门,開關所有門
ToolTips,ToolTips,Tooltips,Consejos,Astuces,ツールチップ,Подсказки,工具提示,工具提示
TpTo,tp to,tp zu,tp a,tp à,へテレポート,тп к,传送到,傳送到
TpToMark,Tp To Mark,TP zur Markierung,TP a la marca,TP au marqueur,マークへテレポート,ТП к метке,传送到标记,傳送到標記
TrapsAuras,Traps Auras,Fallen-Auras,Auras de trampas,Auras de pièges,トラップのオーラ,Ауры ловушек,陷阱光晕,陷阱光暈
TrapsLabel,Traps Label,Fallen-Label,Etiqueta de trampa,Étiquette de piège,トラップラベル,Метка ловушки,陷阱标签,陷阱標籤
UnlockAll,Unlock All,Alles freischalten,Desbloquear todo,Tout débloquer,すべてアンロック,Разблокировать всё,解锁所有,解鎖所有
UnlockAllDoors,UnlockAllDoors,Alle Türen freischalten,Desbloquear todas las puertas,Débloquer toutes les portes,全ドア開錠,Открыть все двери,解锁所有门,解鎖所有門
UnlockDoor,UnlockDoor,Tür freischalten,Desbloquear puerta,Débloquer la porte,ドア開錠,Открыть дверь,解锁门,解鎖門
Visor,Visor,Visier,Visor,Visière,バイザー,Визор,面罩,面罩
World,World,Welt,Mundo,Monde,ワールド,Мир,世界,世界
Language,Language,Sprache,Idioma,Langue,言語,Язык,语言,語言
LanguageFormat,Language: {0},Sprache: {0},Idioma: {0},Langue : {0},言語: {0},Язык: {0},语言: {0},語言: {0}
DespawnProps,Despawn Props,Requisiten entfernen,Desaparecer accesorios,Supprimer les accessoires,プロップ消去,Удалить пропсы,清除小道具,清除小道具
DespawnMobs,Despawn Mobs,Gegner entfernen,Desaparecer mobs,Supprimer les monstres,モブ消去,Удалить мобов,清除生物,清除生物
RevokeCoHost,Revoke Co-Host,Co-Host entziehen,Revocar co-anfitrión,Révoquer le co-hôte,共同ホスト権限剥奪,Лишить со-хоста,撤回副房主,撤回副房主
GiveCoHost,Give Co-Host,Co-Host geben,Dar co-anfitrión,Donner le co-hôte,共同ホスト権限付与,Дать со-хоста,给予副房主,給予副房主
